Область;Заражено;Активные случаи;Погибло;Выздоровело;Летальность;Восстановление;
Москва;357 643+4 648;79 564+2 645;5 852+2;272 227+2 001;1,64%-0,02;76,12%-0,43;
Московская область;80 025+458;18 553+208;1 453+1;60 019+249;1,82%;75,00%-0,12;
Санкт-Петербург;51 232+659;14 676+329;3 376;33 180+330;6,59%-0,09;64,76%-0,20;
Нижегородская область;36 481+288;5 258+40;646+2;30 577+246;1,77%-0,01;83,82%+0,02;
Свердловская область;32 420+227;7 504-58;685+7;24 231+278;2,11%;74,74%+0,34;
Ростовская область;26 308+287;4 625+23;635+2;21 048+262;2,41%-0,02;80,01%+0,13;
Ханты-Мансийский АО;25 531+196;2 722+38;208;22 601+158;0,81%-0,01;88,52%-0,06;
Красноярский край;22 754+220;5 665+111;593;16 496+109;2,61%-0,02;72,50%-0,22;
Иркутская область;21 468+187;3 164+87;322;17 982+100;1,50%-0,01;83,76%-0,27;
Воронежская область;21 356+224;2 214+71;244+10;18 898+143;1,14%+0,03;88,49%-0,26;
Ставропольский край;18 731+171;4 610-110;370+2;13 751+279;1,98%;73,41%+0,82;
Ульяновская область;18 089+170;3 296+58;207;14 586+112;1,14%-0,02;80,63%-0,14;
Ямало-Ненецкий автономный округ;17 954+167;4 037+138;112;13 805+29;0,62%-0,01;76,89%-0,56;
Саратовская область;17 919+163;5 669+23;140+8;12 110+132;0,78%+0,04;67,58%+0,12;
Волгоградская область;17 636+173;2 222+48;174+2;15 240+123;0,99%+0,01;86,41%-0,16;
Мурманская область;17 280+170;2 952+33;254+7;14 074+130;1,47%+0,03;81,45%-0,05;
Челябинская область;17 223+100;4 274+7;148+1;12 801+92;0,86%;74,33%+0,11;
Архангельская область;16 659+207;5 631+150;274+3;10 754+54;1,64%-0,01;64,55%-0,49;
Алтайский край;16 223+184;958-76;270;14 995+260;1,66%-0,02;92,43%+0,56;
Краснодарский край;15 701+102;4 262+57;341+2;11 098+43;2,17%;70,68%-0,19;
Оренбургская область;15 151+170;1 635+70;96+3;13 420+97;0,63%+0,01;88,58%-0,35;
Республика Дагестан;14 856+87;1 090-9;716+7;13 050+89;4,82%+0,02;87,84%+0,08;
Новосибирская область;14 830+135;1 323+36;530+11;12 977+88;3,57%+0,04;87,51%-0,20;
Самарская область;13 854+140;2 721+60;219;10 914+80;1,58%-0,02;78,78%-0,22;
Хабаровский край;13 747+130;3 183+101;125+3;10 439+26;0,91%+0,01;75,94%-0,53;
Приморский край;13 218+108;1 943+38;126;11 149+70;0,95%-0,01;84,35%-0,16;
Омская область;13 205+168;1 760+102;360+2;11 085+64;2,73%-0,02;83,95%-0,59;
Пензенская область;12 899+165;2 758+110;145+2;9 996+53;1,12%;77,49%-0,59;
Кемеровская область;12 761+176;3 650+80;172+7;8 939+89;1,35%+0,04;70,05%-0,27;
Пермский край;11 482+119;3 383+43;337;7 762+76;2,94%-0,03;67,60%-0,04;
Тюменская область;11 411+136;3 298+99;51;8 062+37;0,45%;70,65%-0,53;
Республика Саха (Якутия);11 253+134;3 414+75;110+4;7 729+55;0,98%+0,03;68,68%-0,34;
Тульская область;11 043+75;783+24;396;9 864+51;3,59%-0,02;89,32%-0,15;
Брянская область;10 847+110;2 328+38;49+3;8 470+69;0,45%+0,02;78,09%-0,15;
Республика Коми;10 544+157;2 038+23;151+1;8 355+133;1,43%-0,01;79,24%+0,08;
Калужская область;10 539+92;2 087+34;74;8 378+58;0,70%-0,01;79,50%-0,14;
Орловская область;10 240+118;2 121+39;143;7 976+79;1,40%-0,01;77,89%-0,13;
Белгородская область;10 176+96;1 271-15;60+1;8 845+110;0,59%;86,92%+0,26;
Кировская область;10 000+104;3 504+9;152;6 344+95;1,52%-0,02;63,44%+0,29;
Ивановская область;9 970+91;2 219+15;162+8;7 589+68;1,62%+0,06;76,12%-0,01;
Ярославская область;9 844+99;692+10;52;9 100+89;0,53%;92,44%-0,03;
Томская область;9 755+173;2 398+98;101;7 256+75;1,04%-0,01;74,38%-0,56;
Ленинградская область;9 746+102;3 703+69;103;5 940+33;1,06%-0,01;60,95%-0,30;
Республика Башкортостан;9 670+65;976+52;47;8 647+13;0,49%;89,42%-0,47;
Курская область;9 369+93;2 062+39;67+4;7 240+50;0,72%+0,04;77,28%-0,23;
Рязанская область;9 347+88;2 236+54;55;7 056+34;0,59%;75,49%-0,35;
Республика Чувашия;9 147+42;1 345-9;111;7 691+51;1,21%-0,01;84,08%+0,17;
Кабардино-Балкарская Республика;8 822+83;1 803+44;114+4;6 905+35;1,29%+0,03;78,27%-0,34;
Тамбовская область;8 701+69;1 521+38;51+5;7 129+26;0,59%+0,06;81,93%-0,36;
Республика Бурятия;8 540+121;1 365-2;93+1;7 082+122;1,09%;82,93%+0,26;
