[Область]; [Заражено]; [Активные случаи]; [Погибло]; [Выздоровело]; [Летальность]; [Восстановление]; 
[]; [ 357 643]; [79 564]; [ 5 852]; [ 272 227]; [1,64%]; [ 76,12%]; 
[]; [ 80 025]; [18 553]; [ 1 453]; [ 60 019]; [1,82%]; [ 75,00%]; 
[]; [ 51 232]; [14 676]; [ 3 376]; [ 33 180]; [6,59%]; [ 64,76%]; 
[]; [ 36 481]; [5 258]; [ 646]; [ 30 577]; [1,77%]; [ 83,82%]; 
[]; [ 32 420]; [7 504]; [ 685]; [ 24 231]; [2,11%]; [ 74,74%]; 
[]; [ 26 308]; [4 625]; [ 635]; [ 21 048]; [2,41%]; [ 80,01%]; 
[]; [ 25 531]; [2 722]; [ 208]; [ 22 601]; [0,81%]; [ 88,52%]; 
[]; [ 22 754]; [5 665]; [ 593]; [ 16 496]; [2,61%]; [ 72,50%]; 
[]; [ 21 468]; [3 164]; [ 322]; [ 17 982]; [1,50%]; [ 83,76%]; 
[]; [ 21 356]; [2 214]; [ 244]; [ 18 898]; [1,14%]; [ 88,49%]; 
[]; [ 18 731]; [4 610]; [ 370]; [ 13 751]; [1,98%]; [ 73,41%]; 
[]; [ 18 089]; [3 296]; [ 207]; [ 14 586]; [1,14%]; [ 80,63%]; 
[]; [ 17 954]; [4 037]; [ 112]; [ 13 805]; [0,62%]; [ 76,89%]; 
[]; [ 17 919]; [5 669]; [ 140]; [ 12 110]; [0,78%]; [ 67,58%]; 
[]; [ 17 636]; [2 222]; [ 174]; [ 15 240]; [0,99%]; [ 86,41%]; 
[]; [ 17 280]; [2 952]; [ 254]; [ 14 074]; [1,47%]; [ 81,45%]; 
[]; [ 17 223]; [4 274]; [ 148]; [ 12 801]; [0,86%]; [ 74,33%]; 
[]; [ 16 659]; [5 631]; [ 274]; [ 10 754]; [1,64%]; [ 64,55%]; 
[]; [ 16 223]; [958]; [ 270]; [ 14 995]; [1,66%]; [ 92,43%]; 
[]; [ 15 701]; [4 262]; [ 341]; [ 11 098]; [2,17%]; [ 70,68%]; 
[]; [ 15 151]; [1 635]; [ 96]; [ 13 420]; [0,63%]; [ 88,58%]; 
[]; [ 14 856]; [1 090]; [ 716]; [ 13 050]; [4,82%]; [ 87,84%]; 
[]; [ 14 830]; [1 323]; [ 530]; [ 12 977]; [3,57%]; [ 87,51%]; 
[]; [ 13 854]; [2 721]; [ 219]; [ 10 914]; [1,58%]; [ 78,78%]; 
[]; [ 13 747]; [3 183]; [ 125]; [ 10 439]; [0,91%]; [ 75,94%]; 
[]; [ 13 218]; [1 943]; [ 126]; [ 11 149]; [0,95%]; [ 84,35%]; 
[]; [ 13 205]; [1 760]; [ 360]; [ 11 085]; [2,73%]; [ 83,95%]; 
[]; [ 12 899]; [2 758]; [ 145]; [ 9 996]; [1,12%]; [ 77,49%]; 
[]; [ 12 761]; [3 650]; [ 172]; [ 8 939]; [1,35%]; [ 70,05%]; 
[]; [ 11 482]; [3 383]; [ 337]; [ 7 762]; [2,94%]; [ 67,60%]; 
